Tickler,Company,MarketCap_EUR,Price_EUR,Revenue_EUR,ISIN,Official_Xetra_Name,Primary_Market_MIC
VG,"Venture Global, Inc.",28495338168,11.25,13420600200,US92333F1012,VENTURE GLOBAL  A O.N.,XNYS
TPR,"Tapestry, Inc.",28404173255,140.14999,6814494400,US8760301072,"TAPESTRY INC.      DL-,01",XNYS
K.TO,Kinross Gold Corporation,28358760371,23.63,7414578770,CA4969024047,KINROSS GOLD CORP.,XTSE
HEI.DE,Heidelberg Materials AG,28213271921,160.85001,21734100000,DE0006047004,HEIDELBERG MATERIALS O.N.,XFRA
UMG.AS,Universal Music Group N.V.,28193900972,15.575,12820000000,NL0015000IY2,UNIVERSAL MUSIC GROUP EO1,XAMS
CNC,Centene Corporation,28103894245,55.18,157820091200,US15135B1017,"CENTENE CORP.     DL-,001",XNYS
GEHC,GE HealthCare Technologies Inc.,28041156795,60.7,18614129800,US36266G1076,"GE HEALTHC.TECH.INC. -,01",XNAS
EQT,EQT Corporation,28009655696,44.68,8134967301,US26884L1098,EQT CORP.,XNYS
WTW,Willis Towers Watson Public Limited Company,27700847638,292.20001,8842280600,IE00BDB6Q211,WILLIS TOWERS WATSON,XNAS
EL,The Estée Lauder Companies Inc.,27649362340,75.74,12864660900,US5184391044,"ESTEE LAUDER COS A DL-,01",XNYS
REP.MC,"Repsol, S.A.",27576008600,25.23,54359000000,ES0173516115,REPSOL S.A. INH.     EO 1,XMAD
ON,ON Semiconductor Corporation,27334374021,70.43,5418116760,US6821891057,"ON SEMICOND.       DL-,01",XNAS
MDLN,Medline Inc.,26736357150,32.6,26250515200,US58507V1070,MEDLINE INC.   CL. A O.N.,XNAS
ARES,Ares Management Corporation,26695788930,119.75,5240941904,US03990B1017,ARES MNGMT CORP.CL.A,XNYS
ZM,"Zoom Communications, Inc.",26505993266,90.37,4204940344,US98980L1017,"ZOOM COMMUNIC. A DL -,001",XNAS
FRE.DE,Fresenius SE & Co. KGaA,26505946256,47.06,23281000000,DE0005785604,FRESENIUS SE+CO.KGAA O.N.,XFRA
NSIS-B.CO,Novozymes A/S,26481922350,56.7,4199300000,DK0060336014,NOVOZYMES AS NAM. B DK 2,XCSE
HM-B.ST,H & M Hennes & Mauritz AB (publ),26066190618,16.36,20492765265,SE0000106270,HENNES + MAURITZ B SK-125,XSTO
KHC,The Kraft Heinz Company,25971674783,21.76,21832320000,US5007541064,"KRAFT HEINZ CO.DL -,01",XNAS
ZTS,Zoetis Inc.,25971475287,64.82,8337232500,US98978V1035,"ZOETIS INC. CL.A  DL -,01",XNYS
RYA.IR,Ryanair Holdings plc,25959216000,25.3,15590800000,IE00BYTBXV33,"RYANAIR HLDGS PLC EO-,006",XDUB
P,"Everpure, Inc.",25892100470,76.76,3346665900,US74624M1027,EVERPURE INC CL.A DL-0001,XNYS
VIE.PA,Veolia Environnement SA,25771364301,35.23,44541000000,FR0000124141,VEOLIA ENVIRONNE. EO 5,XPAR
WSM,"Williams-Sonoma, Inc.",25643999086,216.2,6699835150,US9699041011,WILLIAMS-SONOMA INC.DL-01,XNYS
LVS,Las Vegas Sands Corp.,25641854667,39.51,12008240700,US5178341070,"LAS VEGAS SANDS   DL-,001",XNYS
BAMI.MI,Banco BPM S.p.A.,25593636447,17.185,5555972000,IT0005218380,BCA BPM S.P.A.,XMIL
SAMPO.HE,Sampo Oyj,25452308679,9.568,10672000000,FI4000552500,SAMPO OYJ A,XHEL
KNIN.SW,Kuehne + Nagel International AG,25377287688,212.5,26233000985,CH0025238863,KUEHNE + NAGEL INTL  SF 1,XSWX
ALNY,"Alnylam Pharmaceuticals, Inc.",25371279246,186.82,4205100505,US02043Q1076,"ALNYLAM PHARMACE.DL-,0001",XNAS
CPNG,"Coupang, Inc.",25235176908,14.29,31039888600,US22266T1097,"COUPANG INC.CL.A DL-,0001",XNYS
DTE,DTE Energy Company,25176065653,124.4,14411814500,US2333311072,DTE EN. CO.,XNYS
ORSTED.CO,Ørsted A/S,25067274383,18.93,10725096808,DK0060094928,ORSTED A/S          DK 10,XCSE
IMB.L,Imperial Brands PLC,24889416620,32.57,22224630505,GB0004544929,IMPERIAL BRANDS PLC LS-10,XLON
AV.L,Aviva plc,24880275480,8.37,32872410372,GB00BPQY8M80,"AVIVA PLC          LS-,33",XLON
PUB.PA,Publicis Groupe S.A.,24792308723,99.78,17650000000,FR0000130577,"PUBLICIS GRP INH. EO 0,40",XPAR
MTD,Mettler-Toledo International Inc.,24774862578,1225,3618380788,US5926881054,METTLER-TOLEDO INTL,XNYS
INSM,Insmed Incorporated,24764790012,113.94,995771916,US4576693075,"INSMED INC.        DL-,01",XNAS
